001		ocm00999999
003		OCoLC
005		20151122075032.0
006		m\\\\\o\\d\\\\\\\\
007		cr\cn|||||||||
008		121010t20122012enk\\\\\ob\\\\000\0\eng|d
020	\\	$z1907585605
020	\\	$z9781907585609
035	\\	$a(OCoLC)999999
040	\\	$aCaPaEBR$beng$erda$epn$cCaPaEBR
049	\\	$aPALS-EBRARY
050	14	$aHV875$b.H75 2012eb
100	1\	$aHughes, Daniel A.,$eauthor.
245	10	$aEmotional and behavioural difficulties /$cDan Hughes ; with Lorna Miles and Jess and Paul Gethin.
246	34	$aParenting a child with ... emotional and behavioural difficulties
246	17	$aParenting matters :$bemotional and behavioural difficulties
264	\1	$aLondon :$bBritish Association for Adoption & Fostering,$c[2012]
264	\4	$c{copy}2012
300	\\	$a1 online resource (114 pages).
336	\\	$atext$btxt$2rdacontent
337	\\	$acomputer$bc$2rdamedia
338	\\	$aonline resource$bcr$2rdacarrier
490	1\	$aParenting matters
504	\\	$aIncludes bibliographical references (page 101).
588	\\	$aDescription based on print version record.
590	\\	$aElectronic reproduction. Palo Alto, Calif. : ebrary, 2014. Available via World Wide Web. Access may be limited to ebrary affiliated libraries.
650	\0	$aParenting.
650	\0	$aAdoption$xPsychological aspects.
650	\0	$aAdoptive parents.
650	\0	$aAdopted children.
655	\0	$aElectronic books.
700	1\	$aMiles, Lorna,$econtributor.
700	1\	$aGethin, Jess,$econtributor.
700	1\	$aGethin, Paul,$econtributor.
776	08	$iPrint version:$aHughes, Daniel A.$tEmotional and behavioural difficulties.$dLondon : British Association for Adoption & Fostering, [2012]$hvii, 104 pages ; 20 cm$kParenting matters$z9781907585609$w(OCoLC)ocn815245126$w(DLC)10990264
830	\0	$aParenting matters series.
856	40	$uhttps://ezproxy.elon.edu/login?url=http://site.ebrary.com/lib/elon/Doc?id=10990264$zConnect to this resource:
907	\\	$a.b17715829$b04-24-15$c04-24-15
911	\\	$aRDA ENRICHED
998	\\	$a1bew$b04-24-15$cm$dz$e-$feng$genk$h0$i0
910	\\	$aMARS
		
LDR		01748nam  2200445 i 4500
001		ocm00999999
003		OCoLC
005		20151122075032.0
006		m\\\\\o\\d\\\\\\\\
007		cr\cn|||||||||
008		141218t20132013enka\\\\ob\\\\001\0\eng\d
020	\\	$z9781780231709
020	\\	$a9781780232188 (e-book)
035	\\	$a(OCoLC)999999
040	\\	$aCaPaEBR$beng$erda$epn$cCaPaEBR
049	\\	$aPALS-EBRARY
050	14	$aTX751$b.L447 2013eb
082	04	$a641.691$223
100	1\	$aLee, Paula Young,$eauthor.
245	10	$aGame :$ba global history /$cPaula Young Lee.
264	\1	$aLondon, England :$bReaktion Books,$c2013.
264	\4	$c{copy}2013
300	\\	$a1 online resource (153 pages) :$bcolor illustrations.
336	\\	$atext$btxt$2rdacontent
337	\\	$acomputer$bc$2rdamedia
338	\\	$aonline resource$bcr$2rdacarrier
490	1\	$aEdible
504	\\	$aIncludes bibliographical references and index.
588	\\	$aDescription based on online resource; title from PDF title page (ebrary, viewed December 18, 2014).
590	\\	$aElectronic reproduction. Palo Alto, Calif. : ebrary, 2014. Available via World Wide Web. Access may be limited to ebrary affiliated libraries.
650	\0	$aCooking (Game)
650	\0	$aCooking (Game)$xHistory.
655	\0	$aElectronic books.
776	08	$iPrint version:$aLee, Paula Young.$tGame : a global history.$dLondon, England : Reaktion Books, c2013 $h151 pages $kEdible.$z9781780231709
830	\0	$aEdible.
856	40	$uhttps://ezproxy.elon.edu/login?url=http://site.ebrary.com/lib/elon/Doc?id=10990402$zConnect to this resource:
907	\\	$a.b17715842$b04-24-15$c04-24-15
911	\\	$aRDA ENRICHED
998	\\	$a1bew$b04-24-15$cm$dz$e-$feng$genk$h0$i0
910	\\	$aMARS
		
LDR		01944nam  2200445 i 4500
001		ocm00999999
003		OCoLC
005		20151122075032.0
006		m\\\\\o\\d\\\\\\\\
007		cr\cn|||||||||
008		141216t20112009enk\\\\\ob\\\\001\0\eng\d
020	\\	$z9780227173596
020	\\	$a9780227903148 (e-book)
035	\\	$a(OCoLC)999999
040	\\	$aCaPaEBR$beng$erda$epn$cCaPaEBR
049	\\	$aPALS-EBRARY
050	14	$aBT153.S8$b.P665 2011eb
082	04	$a231.4$223
100	1\	$aPool, Jeff B.,$d1951-$eauthor.
245	10	$aGod's wounds.$nVolume 1,$pDivine vulnerability and creation :$bhermeneutic of the Christian symbol of divine suffering /$cJeff B. Pool.
264	\1	$aCambridge, England :$bJames Clarke & Co,$c2011.
264	\4	$c{copy}2009
300	\\	$a1 online resource (379 pages)
336	\\	$atext$btxt$2rdacontent
337	\\	$acomputer$bc$2rdamedia
338	\\	$aonline resource$bcr$2rdacarrier
504	\\	$aIncludes bibliographical references and indexes.
588	\\	$aDescription based on online resource; title from PDF title page (ebrary, viewed December 16, 2014).
590	\\	$aElectronic reproduction. Palo Alto, Calif. : ebrary, 2014. Available via World Wide Web. Access may be limited to ebrary affiliated libraries.
600	00	$aJesus Christ$xPassion.
650	\0	$aSuffering of God.
650	\0	$aSuffering of God$xHistory of doctrines.
650	\0	$aSuffering$xReligious aspects$xChristianity.
655	\0	$aElectronic books.
776	08	$iPrint version:$aPool, Jeff B., 1951-$tGod's wounds. Volume 1, Divine vulnerability and creation.$dCambridge, England : James Clarke & Co, 2011, c2009 $hxvii, 359 pages $z9780227173596
856	40	$uhttps://ezproxy.elon.edu/login?url=http://site.ebrary.com/lib/elon/Doc?id=10991774$zConnect to this resource:
907	\\	$a.b17715891$b04-24-15$c04-24-15
911	\\	$aRDA ENRICHED
998	\\	$a1bew$b04-24-15$cm$dz$e-$feng$genk$h0$i0
910	\\	$aMARS
		
LDR		01927nam  2200445 i 4500
001		ocm00999999
003		OCoLC
005		20151122075032.0
006		m\\\\\o\\d\\\\\\\\
007		cr\cn|||||||||
008		141216t20112010enk\\\\\ob\\\\001\0\eng\d
020	\\	$z9780227173602
020	\\	$a9780227903155 (e-book)
035	\\	$a(OCoLC)999999
040	\\	$aCaPaEBR$beng$erda$epn$cCaPaEBR
049	\\	$aPALS-EBRARY
050	14	$aBT153.S8$b.P665 2011eb
082	04	$a231.4$223
100	1\	$aPool, Jeff B.,$d1951-$eauthor.
245	10	$aGod's wounds.$nVolume 2,$pEvil and divine suffering :$bhermeneutic of the Christian symbol of divine suffering /$cJeff B. Pool.
264	\1	$aCambridge, England :$bJames Clarke & Co,$c2011.
264	\4	$c{copy}2010
300	\\	$a1 online resource (544 pages)
336	\\	$atext$btxt$2rdacontent
337	\\	$acomputer$bc$2rdamedia
338	\\	$aonline resource$bcr$2rdacarrier
504	\\	$aIncludes bibliographical references and indexes.
588	\\	$aDescription based on online resource; title from PDF title page (ebrary, viewed December 16, 2014).
590	\\	$aElectronic reproduction. Palo Alto, Calif. : ebrary, 2014. Available via World Wide Web. Access may be limited to ebrary affiliated libraries.
600	00	$aJesus Christ$xPassion.
650	\0	$aSuffering of God.
650	\0	$aSuffering of God$xHistory of doctrines.
650	\0	$aSuffering$xReligious aspects$xChristianity.
655	\0	$aElectronic books.
776	08	$iPrint version:$aPool, Jeff B., 1951-$tGod's wounds. Volume 2, Evil and divine suffering.$dCambridge, England : James Clarke & Co, 2011, c2010 $hxiv, 529 pages $z9780227173602
856	40	$uhttps://ezproxy.elon.edu/login?url=http://site.ebrary.com/lib/elon/Doc?id=10991776$zConnect to this resource:
907	\\	$a.b17715908$b04-24-15$c04-24-15
911	\\	$aRDA ENRICHED
998	\\	$a1bew$b04-24-15$cm$dz$e-$feng$genk$h0$i0
910	\\	$aMARS
		
LDR		02073nam  2200493 i 4500
001		ocm00999999
003		OCoLC
005		20151122075032.0
006		m\\\\\o\\d\\\\\\\\
007		cr\cn|||||||||
008		141209t20132013enkao\\\ob\\\\001\0\eng\d
020	\\	$z9781848859470
020	\\	$a9780857724502 (e-book)
035	\\	$a(OCoLC)999999
040	\\	$aCaPaEBR$beng$erda$epn$cCaPaEBR
043	\\	$ae-sw---
049	\\	$aPALS-EBRARY
050	14	$aB3199.A34$b.B683 2013eb
082	04	$a701$223
100	1\	$aBoucher, Geoff,$d1967-$eauthor.
245	10	$aAdorno reframed :$binterpreting key thinkers for the arts /$cGeoffrey Boucher.
264	\1	$aLondon ;$aNew York :$bI.B. Tauris,$c2013.
264	\4	$c{copy}2013
300	\\	$a1 online resource (177 pages) :$billustrations, photographs.
336	\\	$atext$btxt$2rdacontent
337	\\	$acomputer$bc$2rdamedia
338	\\	$aonline resource$bcr$2rdacarrier
490	1\	$aContemporary thinkers reframed series
504	\\	$aIncludes bibliographical references and index.
588	\\	$aDescription based on print version record.
590	\\	$aElectronic reproduction. Palo Alto, Calif. : ebrary, 2014. Available via World Wide Web. Access may be limited to ebrary affiliated libraries.
600	10	$aAdorno, Theodor W.,$d1903-1969.
650	\0	$aModernism (Aesthetics)$zSweden.
650	\0	$aPostmodernism$zSweden.
650	\0	$aMusic$zSweden$y20th century$xHistory and criticism.
650	\0	$aArt and philosophy.
655	\0	$aElectronic books.
776	08	$iPrint version:$aBoucher, Geoff, 1967-$tAdorno reframed : interpreting key thinkers for the arts.$dLondon ; New York : I.B. Tauris, c2013 $hx, 163 pages $kContemporary thinkers reframed series.$z9781848859470 $w2012277300
830	\0	$aContemporary thinkers reframed series.
856	40	$uhttps://ezproxy.elon.edu/login?url=http://site.ebrary.com/lib/elon/Doc?id=10992616$zConnect to this resource:
907	\\	$a.b1771591x$b04-24-15$c04-24-15
911	\\	$aRDA ENRICHED
998	\\	$a1bew$b04-24-15$cm$dz$e-$feng$genk$h0$i0
910	\\	$aMARS
		
LDR		02230nam  2200481 i 4500
001		ocm00999999
003		OCoLC
005		20151122075033.0
006		m\\\\\o\\d\\\\\\\\
007		cr\cn|||||||||
008		141217t20102010flu\\\\\o\\\\\000\0\eng\d
